RMLTC-CC-0001-Alt,simple
RMLTC-CC-0001-Bag,simple
RMLTC-CC-0001-List,simple
RMLTC-CC-0001-Seq,simple
RMLTC-CC-0002-Bag,simple
RMLTC-CC-0002-List,simple
RMLTC-CC-0004-SM1,simple
RMLTC-CC-0004-SM2,simple
RMLTC-CC-0004-SM3,simple
RMLTC-CC-0004-SM4,simple
RMLTC-CC-0004-SM5,simple
RMLTC-CC-0005-App1,multivalues
RMLTC-CC-0005-App2,multivalues
RMLTC-CC-0005-Car1,multivalues
RMLTC-CC-0005-Car2,multivalues
RMLTC-CC-0006-IT0,simple
RMLTC-CC-0006-IT1,simple
RMLTC-CC-0006-IT2,multivalues
RMLTC-CC-0006-IT3,simple
RMLTC-CC-0006-IT4,simple
RMLTC-CC-0006-IT5,multivalues
RMLTC-CC-0007-NES,multivalues
RMLTC-CC-0008-ROMa,join
RMLTC-CC-0008-ROMb,join
RMLTC-CC-0009-DUP-Bag,duplicates
RMLTC-CC-0009-DUP-List,duplicates
